StationId,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,AQI_Bucket
DL037,2020-01-03,316.14,407.37,49.05,13.29,46.09,3.46,17.41,12.55,495.0,Severe
DL034,2019-10-28,319.22,492.6,29.56,56.22,28.2,1.53,5.82,40.61,438.0,Severe
DL010,2020-02-10,228.59,449.37,107.54,80.78,36.19,2.15,20.74,29.59,446.0,Severe
DL002,2015-12-29,191.89,510.91,170.16,113.31,90.12,1.66,18.91,18.28,529.0,Severe
DL002,2018-01-09,370.35,623.19,90.95,141.15,113.51,3.29,23.75,15.99,527.0,Severe
DL002,2018-11-26,255.03,539.29,165.85,158.75,135.64,3.53,14.08,24.24,534.0,Severe
DL002,2016-01-04,477.71,695.99,91.86,151.25,126.73,3.24,31.67,26.42,711.0,Severe
DL031,2015-12-07,258.6,450.19,119.34,53.8,55.24,4.36,34.45,73.3,464.0,Severe
DL016,2020-01-02,356.65,470.35,183.31,96.19,54.74,4.19,17.18,17.04,512.0,Severe
DL002,2016-01-05,431.83,746.08,134.87,136.84,134.77,3.25,39.52,31.8,740.0,Severe
DL010,2019-12-08,245.67,418.11,122.31,63.29,26.05,2.95,24.25,28.16,484.0,Severe
DL016,2019-11-02,312.58,464.0,51.71,92.66,56.0,2.16,12.58,19.98,470.0,Severe
DL032,2018-11-08,343.59,527.25,177.86,77.31,45.1,3.49,34.72,21.37,427.0,Severe
DL016,2018-12-21,292.29,440.65,171.68,103.77,72.25,2.54,24.81,24.51,432.0,Severe
DL029,2019-11-05,206.08,301.9,104.36,63.65,18.21,1.96,14.93,16.71,403.0,Severe
DL008,2018-12-04,281.33,513.08,80.25,27.45,20.62,3.81,12.23,46.47,516.0,Severe
DL035,2019-01-21,240.75,351.18,73.37,64.16,58.53,2.25,19.58,38.55,453.0,Severe
DL020,2019-10-24,244.19,632.25,83.83,40.84,49.44,2.83,9.75,31.4,567.0,Severe
DL031,2019-11-03,472.54,632.36,22.81,37.23,32.98,1.2,11.14,69.82,619.0,Severe
DL032,2018-12-20,356.67,571.55,201.27,73.04,73.63,3.2,25.11,30.67,547.0,Severe
DL002,2016-11-11,404.89,633.67,78.91,161.2,112.67,4.4,44.12,44.8,672.0,Severe
DL002,2018-11-14,174.59,292.01,110.83,119.51,104.24,2.42,21.6,26.49,408.0,Severe
DL032,2019-11-04,255.5,438.17,6.46,19.79,39.31,1.63,4.68,16.32,551.0,Severe
DL026,2019-11-16,171.73,303.5,32.36,54.88,34.87,1.3,15.37,25.7,431.0,Severe
DL003,2020-01-27,274.4,396.1,130.22,73.18,64.76,1.91,10.14,10.98,413.0,Severe
DL037,2019-11-05,247.55,345.09,10.39,27.0,46.86,1.8,23.04,38.89,453.0,Severe
DL037,2018-06-13,215.03,474.63,7.26,14.05,15.91,0.6,1.96,13.28,412.0,Severe
DL018,2020-01-03,216.45,308.54,241.15,73.33,51.01,2.41,15.99,24.57,415.0,Severe
DL024,2018-06-16,191.29,660.25,1.14,22.39,9.18,0.39,1.01,47.91,674.0,Severe
DL005,2019-05-09,201.04,481.82,9.37,50.6,24.86,1.28,29.21,69.5,479.0,Severe
DL037,2018-12-04,58.92,451.95,145.25,68.49,44.41,3.45,15.27,23.05,418.0,Severe
DL028,2017-11-06,279.58,279.58,106.24,187.85,69.61,3.21,9.81,448.65,411.0,Severe
DL020,2019-06-11,135.88,522.34,16.79,18.55,19.88,1.56,15.48,20.83,413.0,Severe
DL002,2015-10-08,194.93,609.85,96.6,76.31,43.58,1.46,23.75,33.15,618.0,Severe
AS001,2019-05-26,34.57,492.89,13.08,17.89,5.68,0.79,15.69,29.29,838.0,Severe
DL032,2018-10-18,204.08,513.96,139.23,85.26,63.37,3.7,20.52,30.89,454.0,Severe
DL002,2016-11-17,241.02,623.49,147.22,109.81,62.46,1.88,27.13,37.56,574.0,Severe
DL031,2017-12-30,287.29,484.83,182.29,86.56,48.98,2.56,34.65,68.21,453.0,Severe
DL027,2018-11-09,304.57,433.3,123.43,37.62,84.32,3.02,3.2,19.81,479.0,Severe
DL020,2019-11-02,360.27,521.44,21.58,30.5,52.47,2.88,16.92,7.72,488.0,Severe
DL015,2018-02-05,269.79,483.21,23.52,76.45,52.72,1.7,15.05,12.52,407.0,Severe
DL020,2018-12-24,525.1,749.18,87.89,71.87,85.09,3.67,27.98,23.5,739.0,Severe
DL026,2019-01-18,241.9,374.46,74.72,64.17,55.02,2.07,11.06,10.52,465.0,Severe
DL002,2016-12-10,231.21,315.11,3.31,9.05,8.96,3.44,22.36,11.33,492.0,Severe
DL024,2019-01-17,481.23,645.16,47.0,76.09,62.64,4.71,24.94,34.82,644.0,Severe
